task,kind,size,run,num_iter,cycles,instructions,task_clock
coalesce,original,32b,1,10000,1278272263.0,3123480894.0,223.6
coalesce,original,32b,2,10000,1278651668.0,3123477464.0,223.57
coalesce,original,32b,3,10000,1279065113.0,3123475050.0,223.65
coalesce,original,32b,4,10000,1279013650.0,3123472951.0,223.7
coalesce,original,32b,5,10000,1278716967.0,3123474837.0,223.64
coalesce,original,32b,6,10000,1287128571.0,3123475276.0,225.23
coalesce,original,32b,7,10000,1279018419.0,3123473432.0,223.67
coalesce,original,32b,8,10000,1277490569.0,3123476944.0,223.49
coalesce,original,32b,9,10000,1277285541.0,3123480234.0,223.53
coalesce,original,32b,10,10000,1278117368.0,3123476975.0,223.66
coalesce,original,32b,11,10000,1277951770.0,3123473496.0,223.59
coalesce,original,32b,12,10000,1285155623.0,3123473039.0,224.74
coalesce,original,32b,13,10000,1278977715.0,3123473390.0,223.61
coalesce,original,32b,14,10000,1279787634.0,3123480254.0,223.83
coalesce,original,32b,15,10000,1284185311.0,3123475832.0,224.62
coalesce,original,32b,16,10000,1284772753.0,3123478465.0,224.65
coalesce,original,32b,17,10000,1278290882.0,3123478703.0,223.45
coalesce,original,32b,18,10000,1277427739.0,3123477523.0,223.45
coalesce,original,32b,19,10000,1278490666.0,3123476738.0,223.53
coalesce,original,32b,20,10000,1278082975.0,3123473990.0,223.48
coalesce,original,32b,21,10000,1284498351.0,3123474146.0,224.54
coalesce,original,32b,22,10000,1278534857.0,3123476025.0,223.66
coalesce,original,32b,23,10000,1279194156.0,3123475172.0,223.71
coalesce,original,32b,24,10000,1284938966.0,3123478389.0,224.7
coalesce,original,32b,25,10000,1278408094.0,3123474807.0,223.55
coalesce,original,32b,26,10000,1278729635.0,3123478424.0,223.66
coalesce,original,32b,27,10000,1277815328.0,3123475347.0,223.53
coalesce,original,32b,28,10000,1279128545.0,3123472026.0,223.86
coalesce,original,32b,29,10000,1278035851.0,3123479686.0,223.59
coalesce,original,32b,30,10000,1278176630.0,3123473185.0,223.62
coalesce,original,32b,31,10000,1278377141.0,3123474149.0,223.72
coalesce,original,32b,32,10000,1277957820.0,3123479651.0,223.66
coalesce,original,32b,33,10000,1277809452.0,3123476571.0,223.63
coalesce,original,32b,34,10000,1277455837.0,3123475493.0,223.38
coalesce,original,32b,35,10000,1285955611.0,3123474870.0,224.93
coalesce,original,32b,36,10000,1284221000.0,3123470935.0,224.63
coalesce,original,32b,37,10000,1283364578.0,3123474242.0,224.67
coalesce,original,32b,38,10000,1277676015.0,3123475437.0,223.57
coalesce,original,32b,39,10000,1278604436.0,3123472124.0,223.66
coalesce,original,32b,40,10000,1284320313.0,3123477330.0,224.65
coalesce,original,32b,41,10000,1279587062.0,3123483897.0,224.02
coalesce,original,32b,42,10000,1279059729.0,3123472697.0,223.65
coalesce,original,32b,43,10000,1278767641.0,3123474848.0,223.7
coalesce,original,32b,44,10000,1277991127.0,3123472797.0,223.57
coalesce,original,32b,45,10000,1278704777.0,3123474751.0,223.62
coalesce,original,32b,46,10000,1278329812.0,3123475514.0,223.58
coalesce,original,32b,47,10000,1278625240.0,3123475404.0,223.63
coalesce,original,32b,48,10000,1278224307.0,3123479762.0,223.55
coalesce,original,32b,49,10000,1278578101.0,3123482272.0,223.72
coalesce,original,32b,50,10000,1278913330.0,3123475159.0,223.54
coalesce,verified,32b,1,10000,2553971748.0,12201607235.0,449.7
coalesce,verified,32b,2,10000,2555063484.0,12201602378.0,450.13
coalesce,verified,32b,3,10000,2556321231.0,12201602182.0,450.45
coalesce,verified,32b,4,10000,2556524684.0,12201608805.0,450.75
coalesce,verified,32b,5,10000,2556428911.0,12201604666.0,450.38
coalesce,verified,32b,6,10000,2555035176.0,12201611583.0,450.45
coalesce,verified,32b,7,10000,2555839797.0,12201604217.0,450.51
coalesce,verified,32b,8,10000,2541681826.0,12201614035.0,447.59
coalesce,verified,32b,9,10000,2556136514.0,12201599245.0,450.33
coalesce,verified,32b,10,10000,2555211214.0,12201600872.0,450.28
coalesce,verified,32b,11,10000,3002732917.0,12201602199.0,527.02
coalesce,verified,32b,12,10000,2554563001.0,12201601559.0,450.06
coalesce,verified,32b,13,10000,2554493500.0,12201606018.0,450.02
coalesce,verified,32b,14,10000,2554274614.0,12201603013.0,450.29
coalesce,verified,32b,15,10000,2555821219.0,12201604850.0,449.91
coalesce,verified,32b,16,10000,2555495746.0,12201602411.0,450.27
coalesce,verified,32b,17,10000,2548754968.0,12201602211.0,447.63
coalesce,verified,32b,18,10000,2549159255.0,12201601040.0,447.91
coalesce,verified,32b,19,10000,2555386934.0,12201597902.0,450.03
coalesce,verified,32b,20,10000,2555037428.0,12201602897.0,450.07
coalesce,verified,32b,21,10000,2554671139.0,12201607031.0,449.97
coalesce,verified,32b,22,10000,2634849463.0,12201606769.0,463.69
coalesce,verified,32b,23,10000,2555357618.0,12201606332.0,450.5
coalesce,verified,32b,24,10000,2549314921.0,12201602929.0,448.0
coalesce,verified,32b,25,10000,2554968429.0,12201599002.0,450.16
coalesce,verified,32b,26,10000,2546693283.0,12201602798.0,447.47
coalesce,verified,32b,27,10000,2542657878.0,12201599436.0,446.93
coalesce,verified,32b,28,10000,2553936963.0,12201601311.0,449.47
coalesce,verified,32b,29,10000,2555152290.0,12201606141.0,449.82
coalesce,verified,32b,30,10000,2559991288.0,12201602342.0,450.77
coalesce,verified,32b,31,10000,2548622115.0,12201604535.0,447.88
coalesce,verified,32b,32,10000,2561853129.0,12201605997.0,450.98
coalesce,verified,32b,33,10000,2554853429.0,12201600727.0,450.1
coalesce,verified,32b,34,10000,2555601658.0,12201600883.0,449.49
coalesce,verified,32b,35,10000,2556027509.0,12201599199.0,450.38
coalesce,verified,32b,36,10000,2557007413.0,12201601242.0,450.28
coalesce,verified,32b,37,10000,2555374333.0,12201605941.0,449.96
coalesce,verified,32b,38,10000,2554844006.0,12201604266.0,449.6
coalesce,verified,32b,39,10000,2555471764.0,12201601945.0,450.21
coalesce,verified,32b,40,10000,2554263950.0,12201605403.0,449.62
coalesce,verified,32b,41,10000,2555198588.0,12201598694.0,450.05
coalesce,verified,32b,42,10000,2557231919.0,12201601115.0,449.95
coalesce,verified,32b,43,10000,2555360465.0,12201600548.0,449.93
coalesce,verified,32b,44,10000,2555210583.0,12201603711.0,449.61
coalesce,verified,32b,45,10000,2703210508.0,12201606866.0,475.52
coalesce,verified,32b,46,10000,2555457349.0,12201606297.0,449.69
coalesce,verified,32b,47,10000,2549553840.0,12201601467.0,448.01
coalesce,verified,32b,48,10000,2550777881.0,12201607034.0,447.77
coalesce,verified,32b,49,10000,2555024534.0,12201599964.0,450.21
coalesce,verified,32b,50,10000,2559638773.0,12201601731.0,450.49
coalesce,original,64b,1,10000,401954010.0,1567656117.0,71.79
coalesce,original,64b,2,10000,395589370.0,1567657426.0,70.84
coalesce,original,64b,3,10000,399865127.0,1567654419.0,71.68
coalesce,original,64b,4,10000,400182140.0,1567661775.0,71.7
coalesce,original,64b,5,10000,403151423.0,1567656746.0,72.18
coalesce,original,64b,6,10000,398167139.0,1567657225.0,71.18
coalesce,original,64b,7,10000,413490023.0,1567657552.0,74.04
coalesce,original,64b,8,10000,394038769.0,1567655135.0,70.64
coalesce,original,64b,9,10000,396795657.0,1567655512.0,71.09
coalesce,original,64b,10,10000,401897429.0,1567664715.0,72.22
coalesce,original,64b,11,10000,404595208.0,1567660389.0,72.59
coalesce,original,64b,12,10000,394592915.0,1567662546.0,70.94
coalesce,original,64b,13,10000,399327131.0,1567656595.0,71.69
coalesce,original,64b,14,10000,402248858.0,1567654960.0,72.11
coalesce,original,64b,15,10000,396325076.0,1567656544.0,70.93
coalesce,original,64b,16,10000,397382989.0,1567654359.0,71.23
coalesce,original,64b,17,10000,400269175.0,1567656924.0,71.62
coalesce,original,64b,18,10000,399295656.0,1567659623.0,71.6
coalesce,original,64b,19,10000,396971223.0,1567659345.0,71.02
coalesce,original,64b,20,10000,401153836.0,1567658130.0,71.7
coalesce,original,64b,21,10000,395871519.0,1567659413.0,70.9
coalesce,original,64b,22,10000,393672628.0,1567657013.0,70.61
coalesce,original,64b,23,10000,394362710.0,1567656819.0,70.69
coalesce,original,64b,24,10000,393708464.0,1567654475.0,70.64
coalesce,original,64b,25,10000,398386847.0,1567655586.0,71.46
coalesce,original,64b,26,10000,394910567.0,1567656990.0,70.89
coalesce,original,64b,27,10000,392671993.0,1567655606.0,70.44
coalesce,original,64b,28,10000,399457014.0,1567663720.0,71.5
coalesce,original,64b,29,10000,400558198.0,1567657268.0,71.78
coalesce,original,64b,30,10000,402556608.0,1567660065.0,72.18
coalesce,original,64b,31,10000,393233683.0,1567656368.0,70.55
coalesce,original,64b,32,10000,401805554.0,1567653984.0,71.94
coalesce,original,64b,33,10000,396305196.0,1567662801.0,71.11
coalesce,original,64b,34,10000,404907287.0,1567655685.0,72.6
coalesce,original,64b,35,10000,401701378.0,1567656644.0,71.81
coalesce,original,64b,36,10000,400376723.0,1567658149.0,71.79
coalesce,original,64b,37,10000,393966402.0,1567658034.0,70.63
coalesce,original,64b,38,10000,406144663.0,1567657145.0,72.83
coalesce,original,64b,39,10000,401131681.0,1567656346.0,71.81
coalesce,original,64b,40,10000,394265869.0,1567657909.0,70.75
coalesce,original,64b,41,10000,393730085.0,1567660180.0,70.48
coalesce,original,64b,42,10000,398621657.0,1567656971.0,71.34
coalesce,original,64b,43,10000,395688626.0,1567658848.0,70.99
coalesce,original,64b,44,10000,394037569.0,1567658617.0,70.65
coalesce,original,64b,45,10000,399338716.0,1567660564.0,71.51
coalesce,original,64b,46,10000,393167718.0,1567657335.0,70.65
coalesce,original,64b,47,10000,394076458.0,1567657267.0,70.73
coalesce,original,64b,48,10000,401108414.0,1567654428.0,71.94
coalesce,original,64b,49,10000,398002369.0,1567657265.0,71.34
coalesce,original,64b,50,10000,393536758.0,1567657224.0,70.59
coalesce,verified,64b,1,10000,1264515381.0,6031316958.0,222.09
coalesce,verified,64b,2,10000,1262723663.0,6031312784.0,221.7
coalesce,verified,64b,3,10000,1264213413.0,6031312549.0,221.98
coalesce,verified,64b,4,10000,1264590834.0,6031313145.0,221.92
coalesce,verified,64b,5,10000,1264098616.0,6031315257.0,221.86
coalesce,verified,64b,6,10000,1263761457.0,6031313111.0,221.86
coalesce,verified,64b,7,10000,1265199317.0,6031311429.0,222.0
coalesce,verified,64b,8,10000,1273564331.0,6031311251.0,223.45
coalesce,verified,64b,9,10000,1263291500.0,6031317848.0,221.58
coalesce,verified,64b,10,10000,1264929657.0,6031316645.0,221.95
coalesce,verified,64b,11,10000,1264731210.0,6031312017.0,221.91
coalesce,verified,64b,12,10000,1263546349.0,6031312812.0,221.72
coalesce,verified,64b,13,10000,1263007046.0,6031309855.0,221.64
coalesce,verified,64b,14,10000,1263733393.0,6031311754.0,221.83
coalesce,verified,64b,15,10000,1264793331.0,6031311159.0,221.99
coalesce,verified,64b,16,10000,1265031602.0,6031313151.0,221.75
coalesce,verified,64b,17,10000,1264148683.0,6031316247.0,221.81
coalesce,verified,64b,18,10000,1263708653.0,6031314515.0,221.88
coalesce,verified,64b,19,10000,1263849744.0,6031311997.0,221.9
coalesce,verified,64b,20,10000,1263371278.0,6031315778.0,221.59
coalesce,verified,64b,21,10000,1274933635.0,6031310304.0,223.74
coalesce,verified,64b,22,10000,1264560416.0,6031309976.0,221.99
coalesce,verified,64b,23,10000,1263666147.0,6031310470.0,221.8
coalesce,verified,64b,24,10000,1264347242.0,6031310012.0,221.64
coalesce,verified,64b,25,10000,1265286322.0,6031315457.0,222.04
coalesce,verified,64b,26,10000,1263980902.0,6031316086.0,221.89
coalesce,verified,64b,27,10000,1263226189.0,6031313384.0,221.64
coalesce,verified,64b,28,10000,1263338895.0,6031314796.0,221.55
coalesce,verified,64b,29,10000,1262514173.0,6031313003.0,221.59
coalesce,verified,64b,30,10000,1262849222.0,6031310670.0,221.51
coalesce,verified,64b,31,10000,1264460785.0,6031309696.0,221.9
coalesce,verified,64b,32,10000,1264956360.0,6031311133.0,222.06
coalesce,verified,64b,33,10000,1264049205.0,6031313516.0,221.78
coalesce,verified,64b,34,10000,1264312204.0,6031314677.0,221.95
coalesce,verified,64b,35,10000,1272308685.0,6031311401.0,223.14
coalesce,verified,64b,36,10000,1263903707.0,6031313637.0,221.79
coalesce,verified,64b,37,10000,1264100803.0,6031310898.0,221.89
coalesce,verified,64b,38,10000,1267894428.0,6031311443.0,222.44
coalesce,verified,64b,39,10000,1263530802.0,6031311959.0,221.74
coalesce,verified,64b,40,10000,1263667053.0,6031312373.0,221.82
coalesce,verified,64b,41,10000,1269230295.0,6031314870.0,222.75
coalesce,verified,64b,42,10000,1264841881.0,6031313968.0,221.95
coalesce,verified,64b,43,10000,1263149141.0,6031312135.0,221.67
coalesce,verified,64b,44,10000,1263093230.0,6031322408.0,221.56
coalesce,verified,64b,45,10000,1265912256.0,6031310283.0,222.0
coalesce,verified,64b,46,10000,1267903593.0,6031316099.0,222.38
coalesce,verified,64b,47,10000,1264013696.0,6031312607.0,221.84
coalesce,verified,64b,48,10000,1267580478.0,6031317300.0,222.45
coalesce,verified,64b,49,10000,1263684073.0,6031317595.0,221.8
coalesce,verified,64b,50,10000,1264162743.0,6031313828.0,221.79
coalesce,original,512b,1,10000,55126292.0,198329256.0,9.88
coalesce,original,512b,2,10000,56047484.0,198327567.0,10.06
coalesce,original,512b,3,10000,57745826.0,198328224.0,10.36
coalesce,original,512b,4,10000,55600200.0,198327022.0,9.97
coalesce,original,512b,5,10000,55982625.0,198328134.0,10.05
coalesce,original,512b,6,10000,57670330.0,198329517.0,10.35
coalesce,original,512b,7,10000,55574098.0,198329150.0,9.96
coalesce,original,512b,8,10000,55953985.0,198330839.0,10.05
coalesce,original,512b,9,10000,55378324.0,198328930.0,9.95
coalesce,original,512b,10,10000,55538751.0,198328929.0,9.97
coalesce,original,512b,11,10000,57588487.0,198330770.0,10.34
coalesce,original,512b,12,10000,57528084.0,198328136.0,10.33
coalesce,original,512b,13,10000,55973977.0,198328065.0,10.04
coalesce,original,512b,14,10000,56026339.0,198327195.0,10.05
coalesce,original,512b,15,10000,55170521.0,198330727.0,9.9
coalesce,original,512b,16,10000,55598926.0,198330402.0,9.98
coalesce,original,512b,17,10000,56275953.0,198330231.0,10.1
coalesce,original,512b,18,10000,58088235.0,198330615.0,10.43
coalesce,original,512b,19,10000,55906916.0,198328326.0,10.02
coalesce,original,512b,20,10000,56695572.0,198329370.0,10.18
coalesce,original,512b,21,10000,55466051.0,198328285.0,9.96
coalesce,original,512b,22,10000,56273110.0,198331890.0,10.08
coalesce,original,512b,23,10000,58446886.0,198330793.0,10.5
coalesce,original,512b,24,10000,57965321.0,198333997.0,10.26
coalesce,original,512b,25,10000,56235093.0,198330804.0,10.04
coalesce,original,512b,26,10000,55624335.0,198333823.0,9.96
coalesce,original,512b,27,10000,57930269.0,198331272.0,10.38
coalesce,original,512b,28,10000,57946439.0,198327821.0,10.39
coalesce,original,512b,29,10000,57652676.0,198328274.0,10.35
coalesce,original,512b,30,10000,57480013.0,198330367.0,10.32
coalesce,original,512b,31,10000,54991342.0,198330218.0,9.87
coalesce,original,512b,32,10000,57138556.0,198331507.0,10.25
coalesce,original,512b,33,10000,57445878.0,198332014.0,10.33
coalesce,original,512b,34,10000,57747721.0,198329876.0,10.37
coalesce,original,512b,35,10000,57536597.0,198331351.0,10.34
coalesce,original,512b,36,10000,55523750.0,198325572.0,9.97
coalesce,original,512b,37,10000,57856892.0,198326161.0,10.39
coalesce,original,512b,38,10000,54660660.0,198326311.0,9.83
coalesce,original,512b,39,10000,57988022.0,198327728.0,10.43
coalesce,original,512b,40,10000,57079856.0,198331276.0,10.27
coalesce,original,512b,41,10000,55117908.0,198334167.0,9.9
coalesce,original,512b,42,10000,57662421.0,198327086.0,10.33
coalesce,original,512b,43,10000,55458914.0,198330615.0,9.96
coalesce,original,512b,44,10000,58260120.0,198329339.0,10.46
coalesce,original,512b,45,10000,58378841.0,198329637.0,10.48
coalesce,original,512b,46,10000,55408789.0,198330197.0,9.95
coalesce,original,512b,47,10000,58054434.0,198328651.0,10.42
coalesce,original,512b,48,10000,55510842.0,198333542.0,9.97
coalesce,original,512b,49,10000,56137404.0,198328377.0,10.08
