task,kind,size,run,num_iter,cycles,instructions,task_clock
exhaust,original,all,1,10000,81170920.0,322182608.0,14.44
exhaust,original,all,2,10000,81555049.0,322174938.0,14.49
exhaust,original,all,3,10000,81601078.0,322173357.0,14.53
exhaust,original,all,4,10000,81628885.0,322173445.0,14.56
exhaust,original,all,5,10000,81577348.0,322171096.0,14.54
exhaust,original,all,6,10000,81562369.0,322174475.0,14.5
exhaust,original,all,7,10000,81329286.0,322179734.0,14.52
exhaust,original,all,8,10000,81759856.0,322181361.0,14.59
exhaust,original,all,9,10000,82234658.0,322173266.0,14.69
exhaust,original,all,10,10000,81780045.0,322176621.0,14.6
exhaust,original,all,11,10000,82253775.0,322173748.0,14.69
exhaust,original,all,12,10000,81257064.0,322171558.0,14.49
exhaust,original,all,13,10000,81583797.0,322173035.0,14.57
exhaust,original,all,14,10000,81493537.0,322174996.0,14.51
exhaust,original,all,15,10000,81843434.0,322173882.0,14.61
exhaust,original,all,16,10000,82085196.0,322176361.0,14.69
exhaust,original,all,17,10000,81256512.0,322174002.0,14.52
exhaust,original,all,18,10000,82168038.0,322173715.0,14.7
exhaust,original,all,19,10000,81313511.0,322174632.0,14.52
exhaust,original,all,20,10000,81388509.0,322172324.0,14.53
exhaust,original,all,21,10000,81443363.0,322173851.0,14.54
exhaust,original,all,22,10000,82175980.0,322172033.0,14.66
exhaust,original,all,23,10000,81836290.0,322175110.0,14.62
exhaust,original,all,24,10000,81428724.0,322176069.0,14.55
exhaust,original,all,25,10000,81760747.0,322173352.0,14.6
exhaust,original,all,26,10000,81437969.0,322176918.0,14.53
exhaust,original,all,27,10000,81401189.0,322173807.0,14.51
exhaust,original,all,28,10000,80987965.0,322171865.0,14.45
exhaust,original,all,29,10000,81174383.0,322171215.0,14.5
exhaust,original,all,30,10000,80944217.0,322171766.0,14.45
exhaust,original,all,31,10000,81224581.0,322175281.0,14.51
exhaust,original,all,32,10000,81171911.0,322179363.0,14.49
exhaust,original,all,33,10000,80889739.0,322173382.0,14.44
exhaust,original,all,34,10000,81272179.0,322174639.0,14.54
exhaust,original,all,35,10000,82016275.0,322178209.0,14.62
exhaust,original,all,36,10000,82077106.0,322171703.0,14.61
exhaust,original,all,37,10000,81874387.0,322172612.0,14.62
exhaust,original,all,38,10000,82347497.0,322171302.0,14.71
exhaust,original,all,39,10000,81329239.0,322172848.0,14.52
exhaust,original,all,40,10000,81410031.0,322174941.0,14.53
exhaust,original,all,41,10000,81922127.0,322176007.0,14.62
exhaust,original,all,42,10000,81403517.0,322174596.0,14.56
exhaust,original,all,43,10000,81230036.0,322175272.0,14.53
exhaust,original,all,44,10000,81301558.0,322172045.0,14.54
exhaust,original,all,45,10000,81359216.0,322173122.0,14.54
exhaust,original,all,46,10000,81382068.0,322173789.0,14.55
exhaust,original,all,47,10000,81299984.0,322172138.0,14.51
exhaust,original,all,48,10000,81407300.0,322175756.0,14.55
exhaust,original,all,49,10000,81248614.0,322180752.0,14.5
exhaust,original,all,50,10000,82186581.0,322172848.0,14.7
exhaust,verified,all,1,10000,178250769.0,787460762.0,31.47
exhaust,verified,all,2,10000,178314967.0,787459236.0,31.46
exhaust,verified,all,3,10000,176668063.0,787460520.0,31.09
exhaust,verified,all,4,10000,177231265.0,787458339.0,31.25
exhaust,verified,all,5,10000,178096651.0,787458532.0,31.38
exhaust,verified,all,6,10000,177904433.0,787462500.0,31.37
exhaust,verified,all,7,10000,177914362.0,787461534.0,31.34
exhaust,verified,all,8,10000,176708374.0,787462275.0,31.13
exhaust,verified,all,9,10000,177719146.0,787462413.0,31.31
exhaust,verified,all,10,10000,177414093.0,787458362.0,31.22
exhaust,verified,all,11,10000,178640040.0,787458975.0,31.47
exhaust,verified,all,12,10000,177965173.0,787462596.0,31.31
exhaust,verified,all,13,10000,177419026.0,787459157.0,31.22
exhaust,verified,all,14,10000,178717486.0,787461100.0,31.45
exhaust,verified,all,15,10000,177149526.0,787460388.0,31.19
exhaust,verified,all,16,10000,178283370.0,787458965.0,31.33
exhaust,verified,all,17,10000,178249254.0,787461517.0,31.36
exhaust,verified,all,18,10000,177486633.0,787458841.0,31.26
exhaust,verified,all,19,10000,176877772.0,787460268.0,31.15
exhaust,verified,all,20,10000,177756083.0,787460041.0,31.25
exhaust,verified,all,21,10000,179090362.0,787458192.0,31.49
exhaust,verified,all,22,10000,179072962.0,787461741.0,31.52
exhaust,verified,all,23,10000,178315097.0,787461061.0,31.4
exhaust,verified,all,24,10000,179118501.0,787463985.0,31.55
exhaust,verified,all,25,10000,176888030.0,787459964.0,31.12
exhaust,verified,all,26,10000,176784670.0,787458492.0,31.12
exhaust,verified,all,27,10000,178503397.0,787458768.0,31.36
exhaust,verified,all,28,10000,177753438.0,787458899.0,31.22
exhaust,verified,all,29,10000,178644046.0,787458902.0,31.41
exhaust,verified,all,30,10000,177857879.0,787463385.0,31.29
exhaust,verified,all,31,10000,176039606.0,787460413.0,30.97
exhaust,verified,all,32,10000,179413562.0,787459309.0,31.52
